,,,1-مايو-2022,2-مايو-2022,3-مايو-2022,4-مايو-2022,5-مايو-2022,6-مايو-2022,7-مايو-2022,8-مايو-2022,9-مايو-2022,10-مايو-2022,11-مايو-2022,12-مايو-2022,13-مايو-2022,14-مايو-2022,15-مايو-2022,16-مايو-2022,17-مايو-2022,18-مايو-2022,19-مايو-2022,20-مايو-2022,21-مايو-2022,22-مايو-2022,23-مايو-2022,24-مايو-2022,25-مايو-2022,26-مايو-2022,27-مايو-2022,28-مايو-2022,29-مايو-2022,30-مايو-2022,31-مايو-2022,MONTH,
PLANT,PHASE,Total Water Production ,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI,PI
Al-Jubail,MSF-Phase2,Desal01,25٬005,24٬906,25٬025,25٬215,25٬329,25٬016,24٬896,25٬125,24٬988,24٬991,13٬041,19٬816,24٬495,24٬343,19٬554,95,0,9٬270,23٬993,24٬202,24٬218,1٬297,3٬877,0,11٬991,16٬631,14٬289,14٬465,14٬438,14٬090,13٬834,538٬434,30٬829٬657
,,Desal02,25٬436,25٬320,25٬480,25٬517,25٬438,25٬336,25٬383,25٬621,25٬764,25٬663,13٬335,20٬740,24٬816,25٬012,19٬876,0,0,11٬087,22٬619,22٬167,23٬108,2٬085,7٬613,13٬629,21٬956,17٬217,14٬998,14٬954,14٬813,14٬635,16٬105,575٬722,
,,Desal03,26٬535,26٬424,26٬333,26٬183,26٬147,26٬196,26٬223,26٬325,26٬190,26٬027,13٬668,20٬280,24٬488,24٬334,19٬346,0,0,9٬783,24٬027,24٬205,24٬077,1٬263,4٬682,2٬742,14٬164,20٬011,23٬912,23٬947,23٬581,23٬280,21٬316,605٬686,
,,Desal04,28٬053,27٬908,27٬868,27٬799,27٬751,27٬612,27٬420,27٬666,27٬675,27٬581,14٬398,20٬355,25٬465,25٬503,19٬909,0,0,9٬297,26٬982,26٬754,26٬815,1٬417,5٬354,14٬999,20٬864,23٬655,25٬315,25٬537,24٬789,24٬804,21٬685,661٬231,
,,Desal05,28٬179,28٬118,28٬195,28٬207,28٬361,28٬498,28٬329,28٬257,28٬027,27٬940,27٬708,27٬983,28٬377,28٬231,27٬908,28٬122,16٬944,4٬137,27٬366,27٬648,28٬388,28٬124,28٬034,28٬054,27٬962,27٬969,27٬953,27٬969,20٬102,1٬174,26٬710,798٬976,
,,Desal06,27٬259,27٬276,27٬038,26٬344,25٬793,26٬779,26٬585,26٬878,26٬696,26٬596,26٬622,26٬264,26٬729,26٬934,26٬846,26٬763,16٬283,8٬672,26٬443,26٬845,27٬066,27٬039,27٬024,27٬007,27٬088,27٬053,26٬993,27٬029,19٬408,30,22٬421,763٬802,
,,Desal07,28٬117,27٬855,27٬798,27٬694,27٬817,27٬671,27٬733,27٬948,27٬718,27٬827,27٬554,27٬624,27٬700,27٬835,27٬483,27٬457,16٬733,12٬985,27٬305,27٬215,27٬817,27٬862,28٬025,28٬136,28٬106,28٬141,28٬075,27٬933,20٬301,819,26٬678,799٬965,
,,Desal08,26٬977,26٬848,26٬778,26٬739,26٬736,26٬681,26٬676,26٬936,26٬806,26٬652,26٬375,26٬519,26٬556,26٬693,26٬541,26٬439,16٬294,13٬120,27٬262,27٬108,27٬995,27٬953,27٬837,27٬772,27٬599,27٬509,27٬552,27٬625,20٬481,22,0,753٬082,
,,Desal09,28٬531,28٬384,28٬348,28٬325,28٬170,28٬209,28٬355,28٬598,29٬256,29٬275,29٬147,28٬881,28٬872,29٬195,23٬712,3,2,16٬555,29٬408,29٬320,29٬331,29٬489,29٬747,29٬722,29٬738,29٬670,29٬577,29٬540,22٬723,0,17٬496,777٬578,
,,Desal10,28٬009,27٬840,27٬718,27٬606,27٬724,27٬699,27٬778,28٬130,28٬308,28٬291,28٬199,28٬071,28٬096,28٬350,22٬380,0,0,15٬521,27٬881,27٬765,27٬900,27٬826,27٬961,28٬030,28٬084,28٬014,27٬952,27٬971,23٬162,0,20٬127,752٬395,
,,Desal11,28٬651,28٬473,28٬436,28٬334,28٬180,28٬301,28٬274,28٬481,28٬552,28٬565,28٬725,28٬946,29٬081,29٬155,23٬699,0,0,15٬459,28٬928,28٬878,28٬768,28٬853,28٬969,28٬905,28٬872,28٬832,28٬742,28٬680,23٬800,0,23٬583,775٬121,
,,Desal12,26٬871,27٬060,27٬088,26٬977,26٬802,26٬767,26٬689,27٬078,27٬156,27٬135,27٬087,27٬044,27٬307,27٬490,21٬469,0,0,10٬439,27٬667,27٬437,27٬402,27٬613,27٬864,27٬897,27٬849,27٬683,27٬333,27٬023,21٬977,0,18٬153,726٬362,
,,Desal13,27٬266,27٬262,27٬246,27٬381,26٬194,26٬974,27٬153,27٬420,27٬538,27٬365,27٬609,27٬283,26٬939,27٬384,27٬218,21٬579,2٬609,24٬650,25٬383,25٬575,27٬257,27٬211,27٬352,27٬155,27٬040,26٬935,26٬731,26٬708,17٬184,5٬037,24٬685,771٬318,
,,Desal14,26٬051,25٬430,25٬692,25٬933,25٬882,25٬845,25٬839,25٬768,25٬470,25٬414,25٬658,25٬141,25٬324,26٬066,25٬857,20٬700,5٬128,22٬891,23٬558,23٬598,24٬044,24٬150,24٬595,24٬509,24٬239,24٬140,23٬971,24٬029,15٬837,9٬772,23٬835,724٬369,
,,Desal15,26٬004,25٬783,25٬857,25٬938,25٬972,25٬869,26٬233,26٬248,26٬082,25٬945,26٬202,26٬211,25٬966,26٬208,26٬011,20٬855,6٬534,25٬026,25٬129,24٬931,25٬562,25٬478,25٬708,25٬233,25٬094,25٬081,24٬900,24٬992,16٬382,9٬602,23٬582,744٬617,
,,Desal16,26٬210,26٬613,26٬614,26٬387,26٬632,26٬497,26٬440,26٬278,26٬359,26٬215,26٬323,26٬292,26٬028,26٬407,26٬078,21٬428,418,22٬217,25٬248,25٬191,25٬533,25٬462,25٬631,25٬545,25٬330,25٬344,25٬525,25٬635,17٬360,12٬086,23٬826,747٬154,
,,Desal17,28٬153,28٬033,27٬985,27٬515,27٬598,27٬412,27٬686,27٬748,27٬329,27٬322,27٬623,27٬651,27٬581,27٬679,28٬069,28٬415,27٬769,27٬097,28٬009,27٬185,28٬466,28٬366,28٬555,28٬573,28٬905,28٬943,28٬695,28٬781,28٬137,26٬868,27٬030,865٬177,
,,Desal18,27٬243,27٬489,27٬339,26٬805,26٬251,26٬153,26٬712,27٬404,27٬534,27٬351,27٬492,27٬389,27٬308,27٬246,26٬989,27٬645,27٬482,26٬767,27٬960,27٬067,27٬994,27٬877,28٬050,27٬949,28٬065,28٬000,27٬768,28٬286,27٬465,27٬620,27٬703,850٬401,
,,Desal19,26٬351,26٬624,26٬649,26٬209,26٬228,26٬205,26٬349,26٬626,26٬755,26٬748,26٬441,26٬307,26٬286,26٬374,26٬560,26٬655,25٬823,25٬215,26٬961,26٬057,26٬781,26٬736,26٬875,26٬655,26٬713,26٬672,26٬393,26٬314,26٬007,26٬165,25٬905,818٬637,
,,Desal20,24٬761,24٬841,24٬573,24٬226,24٬095,23٬694,24٬176,24٬551,24٬635,24٬620,24٬881,24٬727,24٬667,24٬669,24٬466,23٬477,18٬321,23٬823,24٬318,23٬201,23٬629,24٬054,24٬118,23٬773,23٬932,24٬072,24٬135,24٬170,23٬388,18٬948,17٬500,732٬441,
,,Desal21,25٬190,24٬959,25٬039,24٬842,24٬717,24٬590,24٬568,24٬791,24٬933,25٬157,25٬626,25٬524,25٬271,25٬240,25٬038,25٬266,25٬091,25٬162,25٬123,25٬056,25٬018,25٬039,25٬864,26٬080,25٬673,25٬545,25٬431,25٬422,25٬573,25٬459,25٬570,781٬858,
,,Desal22,27٬297,27٬150,27٬138,26٬997,26٬887,26٬718,26٬685,26٬938,27٬156,27٬117,27٬061,26٬978,26٬908,27٬039,27٬363,27٬278,27٬278,27٬462,27٬391,27٬266,27٬249,27٬283,28٬514,29٬168,29٬296,29٬246,29٬101,28٬933,28٬776,28٬318,28٬246,856٬236,
,,Desal23,24٬363,28٬102,28٬043,27٬915,27٬823,27٬804,27٬737,27٬974,28٬089,28٬037,28٬053,27٬884,27٬893,27٬955,28٬028,27٬803,27٬771,27٬572,27٬527,27٬442,27٬315,27٬206,27٬205,27٬306,27٬211,27٬136,27٬057,26٬906,26٬855,26٬746,26٬636,851٬391,
,,Desal24,25٬340,24٬793,24٬771,24٬714,24٬613,24٬392,24٬310,24٬531,24٬693,24٬707,24٬654,24٬474,24٬490,24٬629,24٬712,24٬586,24٬585,24٬640,24٬769,24٬809,24٬976,24٬876,24٬946,24٬973,24٬988,24٬964,24٬791,24٬709,24٬660,24٬565,24٬465,766٬126,
,,Desal25,18٬901,20٬142,573,0,6٬514,26٬165,27٬507,9٬662,25٬355,26٬567,26٬707,26٬651,26٬627,26٬692,26٬744,26٬497,26٬272,26٬325,26٬333,26٬191,26٬111,25٬960,26٬117,26٬095,25٬941,25٬891,25٬705,25٬701,25٬674,23٬364,25٬991,708٬974,
,,Desal26,24٬537,24٬491,24٬422,24٬435,24٬323,24٬308,24٬329,24٬436,24٬260,24٬320,24٬189,24٬171,24٬169,24٬143,26٬250,27٬272,27٬310,27٬612,27٬957,28٬029,28٬040,27٬017,26٬073,26٬066,26٬087,25٬342,24٬797,24٬760,24٬805,24٬954,24٬886,787٬792,
,,Desal27,25٬799,25٬394,26٬190,26٬546,26٬448,26٬306,26٬260,26٬667,26٬768,26٬351,26٬143,25٬937,25٬884,25٬505,25٬686,25٬403,25٬277,25٬305,25٬563,25٬424,25٬366,25٬326,25٬463,25٬642,25٬767,25٬692,25٬586,25٬494,25٬424,25٬432,25٬306,799٬352,
,,Desal28,25٬523,25٬396,25٬470,25٬325,25٬278,25٬154,25٬204,25٬620,25٬679,25٬627,25٬544,25٬618,25٬658,25٬828,25٬923,25٬705,25٬591,25٬562,25٬512,25٬440,25٬398,25٬361,25٬456,25٬464,25٬783,25٬462,25٬349,25٬328,25٬284,25٬317,25٬524,790٬387,
,,Desal29,28٬388,28٬008,28٬392,28٬436,28٬228,28٬184,27٬655,28٬185,28٬530,27٬764,27٬618,27٬656,27٬930,28٬357,28٬416,28٬106,28٬175,28٬353,28٬518,28٬278,28٬197,28٬100,28٬192,28٬208,28٬114,27٬958,27٬857,27٬506,27٬389,27٬476,27٬298,869٬471,
,,Desal30,27٬868,27٬761,27٬783,27٬633,27٬454,27٬512,27٬515,27٬742,27٬918,27٬764,27٬577,27٬405,27٬371,27٬485,27٬520,26٬900,26٬859,26٬915,27٬101,26٬983,27٬000,26٬954,27٬021,27٬140,27٬138,27٬054,26٬939,26٬888,26٬772,26٬753,26٬639,845٬364,
,,Desal31,27٬251,27٬589,27٬887,27٬782,27٬686,27٬643,27٬385,26٬715,25٬767,26٬838,26٬676,27٬655,27٬643,27٬704,27٬735,27٬728,27٬676,27٬641,27٬612,27٬448,27٬345,27٬459,27٬620,27٬597,27٬552,27٬481,27٬367,27٬233,27٬424,27٬033,26٬874,849٬047,
,,Desal32,28٬763,29٬003,29٬328,29٬133,29٬012,28٬935,28٬876,29٬233,29٬490,29٬417,29٬275,28٬966,28٬182,28٬234,25٬926,25٬392,28٬749,28٬760,29٬317,29٬290,29٬139,29٬006,29٬077,29٬079,29٬127,29٬022,28٬941,28٬828,28٬505,28٬465,28٬356,890٬825,
,,Desal33,16٬251,16٬228,16٬221,16٬124,16٬043,15٬968,15٬883,15٬950,16٬168,15٬716,15٬218,15٬238,15٬252,15٬370,15٬426,15٬568,15٬860,15٬847,15٬879,15٬830,15٬630,15٬560,15٬914,15٬941,15٬962,15٬899,15٬836,15٬808,15٬790,15٬743,15٬575,489٬700,
,,Desal34,27٬391,27٬441,27٬461,27٬720,27٬761,27٬736,27٬329,26٬968,27٬383,27٬608,27٬650,27٬568,27٬518,27٬481,27٬431,27٬509,27٬613,27٬613,27٬555,27٬653,27٬393,27٬079,27٬499,27٬089,27٬196,27٬260,27٬113,27٬039,27٬146,27٬344,27٬190,849٬738,
,,Desal35,28٬156,27٬997,28٬021,28٬018,28٬088,28٬113,27٬760,27٬385,27٬774,28٬057,28٬120,28٬014,28٬049,27٬990,27٬995,28٬048,27٬953,27٬963,28٬081,28٬246,27٬938,27٬656,28٬270,27٬856,27٬908,28٬108,27٬848,27٬845,27٬846,27٬825,27٬549,866٬477,
,,Desal36,27٬281,27٬229,27٬086,26٬962,26٬902,26٬823,26٬770,26٬810,27٬016,27٬064,27٬021,26٬904,26٬851,26٬789,26٬971,26٬849,26٬895,27٬017,27٬658,27٬600,27٬361,27٬289,27٬741,27٬813,27٬837,27٬763,27٬739,27٬696,27٬667,27٬683,27٬469,844٬557,
,,Desal37,27٬482,27٬508,27٬567,26٬984,26٬569,26٬906,26٬754,27٬140,27٬165,14٬471,27٬665,25٬356,19٬224,19٬345,19٬415,19٬325,19٬249,19٬120,19٬317,18٬967,18٬862,18٬880,22٬080,26٬276,27٬226,27٬153,27٬059,26٬991,26٬919,26٬763,26٬589,740٬328,
,,Desal38,27٬277,27٬306,27٬247,26٬582,26٬728,27٬083,28٬406,29٬061,29٬025,29٬286,29٬053,28٬838,28٬843,28٬971,29٬074,29٬153,29٬029,29٬051,29٬222,28٬586,28٬360,28٬453,28٬487,28٬220,28٬970,29٬011,28٬946,28٬756,28٬817,28٬740,28٬494,883٬074,
,,Desal39,24٬002,23٬920,23٬040,20٬280,24٬280,23٬495,22٬939,23٬633,23٬637,23٬614,3٬970,26٬900,25٬818,25٬788,26٬143,26٬089,25٬926,25٬752,25٬987,25٬625,25٬616,26٬068,26٬694,25٬373,26٬925,26٬961,26٬774,26٬668,26٬509,26٬343,25٬496,760٬266,
,,Desal40,27٬045,27٬162,26٬612,26٬714,27٬078,27٬660,26٬094,26٬191,25٬389,26٬426,26٬557,26٬465,26٬501,26٬636,26٬837,26٬439,26٬237,26٬250,26٬403,25٬966,26٬048,26٬206,26٬264,25٬615,26٬515,25٬909,26٬154,26٬077,25٬950,25٬724,25٬098,816٬222,
,RO,RO\RO - A,5٬946,5٬965,2٬125,5٬963,5٬906,5٬880,5٬913,5٬891,5٬870,5٬854,5٬871,5٬912,5٬877,5٬773,5٬752,5٬864,5٬946,5٬957,5٬965,6٬012,6٬014,5٬941,2٬185,3٬829,5٬899,4٬033,5٬922,5٬900,5٬896,5٬937,5٬968,171٬766,1٬305٬453
,,RO\RO - B,5٬535,5٬527,5٬547,5٬528,5٬502,5٬486,5٬526,5٬535,5٬571,5٬582,5٬611,5٬627,5٬605,5٬545,5٬486,5٬574,5٬637,5٬629,5٬628,5٬654,5٬682,5٬683,2٬137,3٬752,5٬762,5٬717,5٬716,5٬705,5٬696,5٬726,5٬753,168٬667,
,,RO\RO - C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,21,2,3,0,3,3,3,2,0,2,1,3,52,
,,RO\RO - D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,RO\RO - E,4٬551,5٬397,5٬412,5٬402,5٬396,5٬468,5٬751,5٬715,5٬687,5٬679,5٬710,5٬734,5٬716,5٬640,5٬563,1٬956,0,1٬645,5٬567,5٬584,5٬414,5٬968,2٬183,3٬838,5٬755,5٬721,5٬727,5٬725,5٬729,5٬753,5٬782,155٬169,
,,RO\RO - F,5٬711,5٬719,5٬739,5٬717,5٬674,5٬661,5٬725,5٬717,5٬720,5٬714,5٬749,5٬777,5٬741,5٬648,5٬568,5٬674,5٬751,5٬757,5٬767,5٬809,5٬536,6٬073,2٬328,3٬859,5٬928,5٬887,5٬880,5٬875,5٬876,5٬925,5٬958,173٬461,
